state,county,teen_birth_rate,per_uninsured,per_hsgrads,per_child_poverty,per_singleparent
Illinois,Marion,62,13,77,27,39
Illinois,Marshall,29,11,94,18,21
Illinois,Mason,52,13,79,24,32
Illinois,Massac,65,13,92,27,22
Illinois,Menard,25,10,85,14,23
Illinois,Monroe,14,8,91,6,19
Illinois,Montgomery,47,15,80,21,26
Illinois,Morgan,36,13,85,21,38
Illinois,Moultrie,33,13,82,17,18
Illinois,Ogle,30,13,90,16,25
Illinois,Peoria,51,13,82,21,41
Illinois,Perry,45,16,81,24,34
Illinois,Piatt,22,11,96,10,20
Illinois,Pike,43,16,85,25,33
Illinois,Pope,37,16,79,27,22
Illinois,Pulaski,74,15,75,36,41
Illinois,Putnam,17,11,87,14,20
Illinois,Randolph,48,15,79,19,28
Illinois,Richland,39,14,85,21,22
Illinois,Rock Island,51,13,85,20,37
Illinois,St. Clair,53,13,81,23,44
Illinois,Saline,57,13,78,28,34
Illinois,Sangamon,47,10,83,20,36
Illinois,Schuyler,32,14,84,18,29
Illinois,Scott,45,12,80,13,20
Illinois,Shelby,37,12,87,18,20
Illinois,Stark,29,12,93,17,20
Illinois,Stephenson,45,12,80,21,33
Illinois,Tazewell,37,10,86,14,25
Illinois,Union,48,15,83,26,31
Illinois,Vermilion,65,13,81,31,44
Illinois,Wabash,37,13,77,21,26
Illinois,Warren,29,13,86,19,31
Illinois,Washington,34,11,86,13,28
Illinois,Wayne,47,14,88,23,32
Illinois,White,54,14,81,26,31
Illinois,Whiteside,48,13,82,18,33
Illinois,Will,27,12,86,12,21
Illinois,Williamson,45,14,88,24,33
Illinois,Winnebago,52,15,81,27,38
Illinois,Woodford,19,9,87,10,18
Indiana,Adams,33,18,90,30,19
Indiana,Allen,47,17,88,20,33
Indiana,Bartholomew,58,15,84,22,29
Indiana,Benton,41,17,90,18,22
Indiana,Blackford,58,16,86,24,35
Indiana,Boone,27,11,97,10,18
Indiana,Brown,21,17,89,21,25
Indiana,Carroll,31,16,89,16,15
Indiana,Cass,53,17,83,26,29
Indiana,Clark,50,16,88,19,37
Indiana,Clay,46,16,92,22,28
Indiana,Clinton,58,19,85,22,31
Indiana,Crawford,48,19,82,28,28
Indiana,Daviess,49,22,83,24,23
Indiana,Dearborn,37,14,88,14,20
Indiana,Decatur,53,16,93,22,32
Indiana,DeKalb,49,16,88,16,25
Indiana,Delaware,28,17,93,28,38
Indiana,Dubois,32,14,90,10,19
Indiana,Elkhart,61,21,84,27,31
Indiana,Fayette,60,17,78,26,34
Indiana,Floyd,40,14,87,19,37
Indiana,Fountain,47,17,88,20,30
Indiana,Franklin,35,17,86,18,18
Indiana,Fulton,51,19,90,22,29
